date,public,private
01/01/2003,2098817,72205
01/01/2004,2156215,74813
01/01/2005,2219068,70436
01/01/2006,2228066,72583
01/01/2007,2253383,73293
01/01/2008,2310660,76443
01/01/2009,2331901,79571
01/01/2010,2242341,93879
01/01/2011,2327427,87003
01/01/2012,2326498,93402
01/01/2013,2320300,100829
01/01/2014,2159906,109910
01/01/2015,2072162,108891
01/01/2016,2049030,109865
01/01/2017,2005876,113793
01/01/2018,2075618,109676
01/01/2019,2045777,105904
01/01/2020,1988781,104863
01/01/2021,2024691,98641
