state,2018,2019,2020,2021,2022,2023,2024
Selangor,14743,13722,10955,12182,12949,14638,21385
Johor,12313,16124,16138,13261,14317,15940,18707
Kelantan,14871,16341,13649,11843,13316,13915,18507
Kedah,11735,11629,10518,13502,13267,13974,17517
Perak,8300,9335,8604,9869,11715,11746,14534
Pulau Pinang,9084,8987,7633,8185,8968,9735,12597
Pahang,15886,13616,12170,10551,12253,12992,11750
Terengganu,9453,11409,12499,12033,13314,12058,11393
W.P. Kuala Lumpur,8368,8066,6811,5632,5958,6030,9444
Sarawak,4762,6774,7963,5652,7841,9645,9295
Sabah,8407,10288,7284,6377,8156,8567,7484
Melaka,4150,4968,4855,5246,5718,5505,6957
Negeri Sembilan,6356,7934,6589,6243,6446,7068,6648
Perlis,2123,2064,1778,1868,2116,2801,2625
W.P. Putrajaya,73,344,306,256,409,453,450
W.P. Labuan,164,598,573,439,433,459,398
