year,raya,ramadan
2000,2000-12-27,2000-12-01
2001,2001-12-16,2001-11-01
2002,2002-12-05,2002-11-01
2003,2003-11-25,2003-11-01
2004,2004-11-14,2004-10-01
2005,2005-11-03,2005-10-01
2006,2006-10-23,2006-10-01
2007,2007-10-13,2007-09-01
2008,2008-10-01,2008-09-01
2009,2009-09-20,2009-09-01
2010,2010-09-10,2010-08-01
2011,2011-08-30,2011-08-01
2012,2012-08-19,2012-08-01
2013,2013-08-08,2013-07-01
2014,2014-07-28,2014-07-01
2015,2015-07-17,2015-07-01
2016,2016-07-06,2016-06-01
2017,2017-06-25,2017-06-01
2018,2018-06-15,2018-06-01
2019,2019-06-04,2019-05-01
2020,2020-05-24,2020-05-01
2021,2021-05-13,2021-04-01
2022,2022-05-02,2022-04-01
2023,2023-04-21,2023-04-01
2024,2024-04-10,2024-04-01
2025,2025-03-30,2025-03-01
