year,conventional,shariah
2024,6.30,6.30
2023,5.50,5.40
2022,5.35,4.75
2021,6.10,5.65
2020,5.20,4.90
2019,5.45,5.00
2018,6.15,5.90
2017,6.90,6.40
2016,5.70,
2015,6.40,
2014,6.75,
2013,6.35,
2012,6.15,
2011,6.00,
2010,5.80,
2009,5.65,
2008,4.50,
2007,5.80,
2006,5.15,
2005,5.00,
2004,4.75,
2003,4.50,
2002,4.25,
2001,5.00,
2000,6.00,
1999,6.84,
1998,6.70,
1997,6.70,
1996,7.70,
1995,7.50,
1994,8.00,
1993,8.00,
1992,8.00,
1991,8.00,
1990,8.00,
1989,8.00,
1988,8.00,
1987,8.50,
1986,8.50,
1985,8.50,
1984,8.50,
1983,8.50,
1982,8.00,
1981,8.00,
1980,8.00,
1979,7.25,
1978,7.00,
1977,7.00,
1976,7.00,
1975,6.60,
1974,6.60,
1973,5.85,
1972,5.85,
1971,5.80,
1970,5.75,
1969,5.75,
1968,5.75,
1967,5.50,
1966,5.50,
1965,5.50,
1964,5.25,
1963,5.00,
1962,4.00,
1961,4.00,
1960,4.00,
1959,2.50,
1958,2.50,
1957,2.50,
1956,2.50,
1955,2.50,
1954,2.50,
1953,2.50,
1952,2.50,
