episode,views
0,145000
1,68000
2,50000
3,47000
4,21000
5,36000
6,36000
7,49000
8,40000
9,56000
10,34000
11,44000
12,72000
13,73000
14,40000
15,269000
16,55000
17,48000
18,36000
19,65000
20,48000
21,108000
22,65000
23,88000
24,269000
25,246000
26,207000
27,154000
28,97000
29,157000
30,105000
31,129000
32,125000
33,189000
34,1900000
35,404000
36,409000
37,455000
38,263000
39,284000
40,359000
41,1000000
42,468000
43,225000
44,240000
45,231000
46,143000
47,393000
48,254000
49,328000
50,617000
51,278000
52,216000
53,218000
54,222000
55,189000
56,183000
57,172000
58,255000
59,172000
60,156000
61,2700000
62,278000
63,237000
64,924000
65,2400000
66,431000
67,221000
68,203000
69,287000
70,1000000
71,472000
72,392000
73,297000
74,655000
75,141000
76,332000
77,309000
78,128000
79,650000
80,390000
81,352000
82,295000
83,312000
84,178000
85,321000
86,192000
87,216000
88,149000
89,586000
90,177000
91,588000
92,324000
93,679000
94,158000
95,187000
96,71000
97,299000
98,286000
99,155000
100,173000
101,379000
102,138000
103,173000
104,235000
105,309000
106,204000
107,170000
108,160000
109,654000
110,252000
111,221000
112,196000
113,308000
114,305000
115,743000
116,181000
117,164000
118,218000
119,275000
120,646000
121,247000
122,193000
123,217000
124,194000
125,168000
126,494000
127,149000
128,236000
129,294000
130,290000
131,204000
132,213000
133,188000
134,209000
135,254000
136,181000
137,237000
138,179000
139,119000
140,136000
141,107000
142,128000
143,112000
144,116000
145,65000
