product,rate_mfn,rate_applied,tariff_lines,is_traded
240130 - Tobacco refuse,1156,1156,2,No
220710 - Undenatured ethyl alcohol; of an alcoholic strength by volume of 80% vol. or higher,523,523,1,Yes
"220600 - Beverages, fermented; (eg cider, perry, mead)",348,348,10,Yes
240391 - Tobacco; homogenised or reconstituted,199,199,2,No
"240110 - Tobacco, (not stemmed or stripped)",163,163,5,No
240120 - Tobacco; partly or wholly stemmed or stripped,158,158,6,No
240311 - Water-pipe tobacco specified in subheading note 1 to this chapter,86,86,2,No
240399 - Tobacco; other than homogenised or reconstituted or smoking,77,77,5,No
220870 - Liqueurs and cordials,72,72,2,Yes
"020311 - Meat; of swine, carcasses and half-carcasses, fresh or chilled",50,50,1,No
"020321 - Meat; of swine, carcasses and half-carcasses, frozen",50,50,1,No
040711 - Of fowls of the species Gallus domesticus,50,50,2,No
040721 - Of fowls of the species Gallus domesticus,50,50,1,No
360410 - Pyrotechnic products; fireworks,50,50,1,No
240319 - Other,49,49,5,No
080390 - Other,47,47,4,No
080310 - Plantains,44,44,2,No
"020711 - Not cut in pieces, fresh or chilled",40,40,1,No
"020712 - Not cut in pieces, frozen",40,40,1,No
"020713 - Cuts and offal, fresh or chilled",40,40,1,No
"020714 - Cuts and offal, frozen",40,40,5,Yes
100610 - Cereals; rice in the husk (paddy or rough),40,40,2,No
100620 - Cereals; husked (brown) rice,40,40,2,No
"100630 - Cereals; rice, semi-milled or wholly milled, whether or not polished or glazed",40,40,7,Yes
"401110 - Rubber; new pneumatic tyres, of a kind used on motor cars (including station wagons and racing cars)",40,40,1,Yes
"401120 - Rubber; new pneumatic tyres, of a kind used on buses or lorries",40,40,5,Yes
441210 - Of bamboo,35,35,1,No
441231 - With at least one outer ply of tropical wood,35,35,1,No
"441233 - Other, with at least one outer ply of non-coniferous wood of the species alder (Alnus spp.), ash (Fraxinus spp.), beech (Fagus spp.), birch (Betula spp.), cherry (Prunus spp.) chestnut (Castanea spp.), elm (Ulmus spp.), eucalyptus (Eucalyptus spp.), hi",35,35,1,No
"441234 - Other, with at least one outer ply of non-coniferous wood not specified under subheading 441233",35,35,1,No
"441239 - Other, with both outer plies of coniferous wood",35,35,1,Yes
040790 - Other,33,33,3,No
"441291 - Plywood; not containing an outer layer of non-coniferous wood, but containing at least one layer of particle board",33,33,2,No
"690722 - Of a water absorption coefficient by weight exceeding 0,5 % but not exceeding 10 %",31,31,8,No
690723 - Of a water absorption coefficient by weight exceeding 10 %,31,31,8,No
081070 - Persimmons,30,30,1,Yes
280910 - Diphosphorus pentoxide,30,30,1,No
281700 - Zinc; oxide and peroxide,30,30,2,Yes
"360610 - Fuels; liquid or liquefied-gas, in containers, of a kind used for filling or refilling cigarette or similar lighters, (of a capacity not exceeding 300cm3)",30,30,1,Yes
"391590 - Plastics n.e.s. in heading no. 3915; waste, parings and scrap",30,30,6,Yes
"400520 - Rubber; unvulcanised, compounded, solutions and dispersions other than those of item no. 4005.10",30,30,1,No
"400819 - Rubber; vulcanised (other than hard rubber), cellular rubber, (other than in plates, sheets or strip)",30,30,1,Yes
"400829 - Rubber; vulcanised (other than hard rubber), non-cellular rubber, in forms other than plates, sheets or strip",30,30,1,Yes
400911 - Without fittings,30,30,1,Yes
400912 - With fittings,30,30,2,Yes
400921 - Without fittings,30,30,2,Yes
400922 - With fittings,30,30,2,Yes
400931 - Without fittings,30,30,3,Yes
400932 - With fittings,30,30,2,Yes
400941 - Without fittings,30,30,2,Yes
400942 - With fittings,30,30,3,Yes
401011 - Reinforced only with metal,30,30,1,Yes
401012 - Reinforced only with textile materials,30,30,1,Yes
401019 - Other,30,30,1,Yes
"401031 - Endless transmission belts of trapezoidal cross-section (V-belts), V-ribbed, of an outside circumference exceeding 60 cm but not exceeding 180 cm",30,30,1,Yes
"401032 - Endless transmission belts of trapezoidal cross-section (V-belts), other than V-ribbed, of an outside circumference exceeding 60 cm but not exceeding 180 cm",30,30,1,Yes
"401033 - Endless transmission belts of trapezoidal cross-section (V-belts), V-ribbed, of an outside circumference exceeding 180 cm but not exceeding 240 cm",30,30,1,Yes
"401034 - Endless transmission belts of trapezoidal cross-section (V-belts), other than V-ribbed, of an outside circumference exceeding 180 cm but not exceeding 240 cm",30,30,1,Yes
"401035 - Endless synchronous belts, of an outside circumference exceeding 60 cm but not exceeding 150 cm",30,30,1,Yes
"401036 - Endless synchronous belts, of an outside circumference exceeding 150 cm but not exceeding 198 cm",30,30,1,Yes
401039 - Other,30,30,1,Yes
"401140 - Rubber; new pneumatic tyres, of a kind used on motorcycles",30,30,1,Yes
"401150 - Rubber; new pneumatic tyres, of a kind used on bicycles",30,30,1,No
401170 - Of a kind used on agricultural or forestry vehicles and machines,30,30,1,Yes
401211 - Of a kind used on motor cars (including station wagons and racing cars),30,30,1,No
401212 - Of a kind used on buses or lorries,30,30,2,No
"401310 - Rubber; inner tubes, of a kind used on motorcars (including station wagons and racing cars), buses and lorries",30,30,4,No
"401320 - Rubber; inner tubes, of a kind used on bicycles",30,30,1,No
"401410 - Rubber; vulcanised (other than hard rubber), sheath contraceptives",30,30,1,No
441292 - With at least one ply of tropical wood specified in Subheading Note 1 to this Chapter,30,30,1,No
"680210 - Tiles, cubes and similar articles; whether or not rectangular (including square), largest surface area of which is capable of being enclosed in square, side less than 7cm, coloured granules, chippings, powder",30,30,1,No
"680221 - Marble, travertine and alabaster; simply cut or sawn, with a flat or even surface",30,30,1,No
"680223 - Granite; articles thereof, simply cut or sawn, with a flat or even surface",30,30,1,Yes
"680229 - Stone; monumental or building stone, n.e.s. in item no. 6802.2, articles thereof, simply cut or sawn, with a flat or even surface",30,30,2,No
"680292 - Stone; calcareous (excluding marble, travertine, alabaster) articles thereof, (other than simply cut or sawn, with a flat or even surface)",30,30,1,No
"680293 - Granite; articles thereof, (other than simply cut or sawn, with a flat or even surface)",30,30,2,Yes
"680299 - Stone; natural (excluding marble, travertine, alabaster, other calcareous stone or granite), monumental or building stone, (other than simply cut or sawn, with a flat or even surface)",30,30,1,Yes
"680911 - Plaster, or plaster compositions; boards, sheets, panels, tiles and similar articles, faced or reinforced with paper or paperboard only, not ornamented",30,30,1,No
681320 - Containing asbestos,30,30,2,Yes
681381 - Brake linings and pads,30,30,1,Yes
681389 - Other,30,30,1,Yes
690410 - Ceramic building bricks,30,30,1,No
"690490 - Ceramic flooring blocks, supports or filler tiles and the like (excluding building bricks)",30,30,1,Yes
690510 - Ceramic roofing tiles,30,30,1,No
"690600 - Ceramic pipes, conduits, guttering and pipe fittings",30,30,1,No
691110 - Tableware and kitchenware; of porcelain or china,30,30,1,Yes
"691190 - Household and toilet articles; n.e.s. in heading no. 6911, of porcelain or china",30,30,1,Yes
"691200 - Ceramic tableware, kitchenware, other household articles and toilet articles; other than of porcelain or china",30,30,1,Yes
"700320 - Glass; cast glass and rolled glass, wired sheets, whether or not having an absorbent or reflecting layer but not otherwise worked",30,30,2,No
"700330 - Glass; cast glass and rolled glass, profiles, not otherwise worked",30,30,2,Yes
"700530 - Glass; float glass and surface ground or polished glass, in sheets, wired glass, whether or not having an absorbent or reflecting layer",30,30,2,No
"700711 - Glass; safety glass, toughened (tempered), of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",30,30,3,Yes
"700719 - Glass; safety glass, toughened (tempered), (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)",30,30,2,Yes
"700721 - Glass; safety glass, laminated, of size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels",30,30,3,Yes
"700729 - Glass; safety glass, laminated, (not of a size and shape suitable for incorporation in vehicles, aircraft, spacecraft or vessels)",30,30,2,Yes
700800 - Glass; multiple-walled insulating units of glass,30,30,1,Yes
"700991 - Glass mirrors; unframed, excluding rear-view mirrors for vehicles",30,30,1,Yes
"700992 - Glass mirrors; framed, excluding rear-view mirrors for vehicles",30,30,1,Yes
"701090 - Glass; carboys, bottles, flasks, jars, pots, phials and other containers of glass used for the conveyance or packing of goods",30,30,4,Yes
"701310 - Glassware; of a kind used for table, kitchen, toilet, office, indoor decoration or similar purposes (other than of heading no. 7010 or 7018), of glass-ceramics",30,30,1,Yes
701322 - Of lead crystal,30,30,1,Yes
701328 - Other,30,30,1,Yes
701333 - Of lead crystal,30,30,1,Yes
701337 - Other,30,30,1,Yes
701341 - Of lead crystal,30,30,1,No
701342 - Of glass having a linear coefficient of expansion not exceeding 5 × 10–6 per Kelvin within a temperature range of 0 °C to 300 °C,30,30,1,No
701349 - Other,30,30,1,Yes
"701391 - Glassware; n.e.s. in heading no. 7013, of lead crystal",30,30,1,Yes
"701399 - Glassware; n.e.s. in heading no. 7013, other than of lead crystal",30,30,1,Yes
"760611 - Aluminium; plates, sheets and strip, thickness exceeding 0.2mm, (not alloyed), rectangular (including square)",30,30,2,Yes
"760612 - Aluminium; plates, sheets and strip, thickness exceeding 0.2mm, alloys, rectangular (including square)",30,30,7,Yes
"760691 - Aluminium; plates, sheets and strip, thickness exceeding 0.2mm, not alloyed, (not rectangular or square)",30,30,1,Yes
"760692 - Aluminium; plates, sheets and strip, thickness exceeding 0.2mm, alloys, (not rectangular or square)",30,30,1,Yes
"760720 - Aluminium; foil, backed with paper, paperboard, plastics or similar backing materials, of a thickness (excluding any backing) not exceeding 0.2mm",30,30,3,Yes
"761410 - Aluminium; stranded wire, cables, plaited bands and the like, (not electrically insulated), with steel core",30,30,4,Yes
"761490 - Aluminium; stranded wire, cables, plaited bands and the like, (not electrically insulated), other than steel core",30,30,4,No
