chapter,chapter_description,partner_country_name,January 2025 (Exports Value (MYR)),total
01,LIVE ANIMALS,BANGLADESH,398382,398382
01,LIVE ANIMALS,RUSSIAN FEDERATION,0,0
01,LIVE ANIMALS,BAHRAIN,0,0
01,LIVE ANIMALS,GERMANY,0,0
01,LIVE ANIMALS,LUXEMBOURG,0,0
01,LIVE ANIMALS,SAUDI ARABIA,26287,26287
01,LIVE ANIMALS,CZECH REPUBLIC,0,0
01,LIVE ANIMALS,UZBEKISTAN,0,0
01,LIVE ANIMALS,SINGAPORE,89036919,89036919
01,LIVE ANIMALS,AUSTRALIA,0,0
01,LIVE ANIMALS,KOREA REPUBLIC OF,0,0
01,LIVE ANIMALS,BELGIUM,0,0
01,LIVE ANIMALS,INDIA,54500,54500
01,LIVE ANIMALS,BRUNEI DARUSSALAM,273730,273730
01,LIVE ANIMALS,FRANCE,100,100
01,LIVE ANIMALS,HONG KONG,3010,3010
01,LIVE ANIMALS,HUNGARY,0,0
01,LIVE ANIMALS,JAPAN,196553,196553
01,LIVE ANIMALS,CHINA,0,0
01,LIVE ANIMALS,NEW ZEALAND,1750,1750
01,LIVE ANIMALS,UNITED STATES,52895,52895
01,LIVE ANIMALS,UNITED KINGDOM,579,579
01,LIVE ANIMALS,MYANMAR,162822,162822
01,LIVE ANIMALS,UNITED ARAB EMIRATES,200,200
01,LIVE ANIMALS,VIET NAM,1996740,1996740
01,LIVE ANIMALS,SPAIN,0,0
01,LIVE ANIMALS,KUWAIT,74268,74268
01,LIVE ANIMALS,SWEDEN,300,300
01,LIVE ANIMALS,ARGENTINA,0,0
01,LIVE ANIMALS,KENYA,0,0
01,LIVE ANIMALS,BENIN,0,0
01,LIVE ANIMALS,QATAR,100,100
01,LIVE ANIMALS,THAILAND,343432,343432
01,LIVE ANIMALS,BRAZIL,0,0
01,LIVE ANIMALS,PHILIPPINES,0,0
01,LIVE ANIMALS,SWITZERLAND,300,300
01,LIVE ANIMALS,SRI LANKA,50,50
01,LIVE ANIMALS,INDONESIA,0,0
02,MEAT AND EDIBLE MEAT OFFAL,SINGAPORE,8996899,8996899
02,MEAT AND EDIBLE MEAT OFFAL,NETHERLANDS,0,0
02,MEAT AND EDIBLE MEAT OFFAL,CHILE,0,0
02,MEAT AND EDIBLE MEAT OFFAL,CANADA,0,0
02,MEAT AND EDIBLE MEAT OFFAL,BRUNEI DARUSSALAM,663857,663857
02,MEAT AND EDIBLE MEAT OFFAL,GERMANY,0,0
02,MEAT AND EDIBLE MEAT OFFAL,TURKIYE,0,0
02,MEAT AND EDIBLE MEAT OFFAL,INDIA,0,0
02,MEAT AND EDIBLE MEAT OFFAL,CHINA,0,0
02,MEAT AND EDIBLE MEAT OFFAL,KOREA REPUBLIC OF,0,0
02,MEAT AND EDIBLE MEAT OFFAL,UNITED ARAB EMIRATES,0,0
02,MEAT AND EDIBLE MEAT OFFAL,INDONESIA,191000,191000
02,MEAT AND EDIBLE MEAT OFFAL,HONG KONG,239676,239676
02,MEAT AND EDIBLE MEAT OFFAL,JAPAN,537898,537898
02,MEAT AND EDIBLE MEAT OFFAL,ARGENTINA,0,0
02,MEAT AND EDIBLE MEAT OFFAL,UNITED STATES,0,0
02,MEAT AND EDIBLE MEAT OFFAL,MACAO,43821,43821
02,MEAT AND EDIBLE MEAT OFFAL,SAUDI ARABIA,0,0
02,MEAT AND EDIBLE MEAT OFFAL,BRAZIL,0,0
02,MEAT AND EDIBLE MEAT OFFAL,IRELAND,0,0
02,MEAT AND EDIBLE MEAT OFFAL,URUGUAY,0,0
02,MEAT AND EDIBLE MEAT OFFAL,IRAN ISLAMIC REPUBLIC OF,0,0
02,MEAT AND EDIBLE MEAT OFFAL,BELGIUM,155120,155120
02,MEAT AND EDIBLE MEAT OFFAL,DENMARK,0,0
02,MEAT AND EDIBLE MEAT OFFAL,AUSTRALIA,9874,9874
02,MEAT AND EDIBLE MEAT OFFAL,THAILAND,8650452,8650452
02,MEAT AND EDIBLE MEAT OFFAL,NEW ZEALAND,0,0
02,MEAT AND EDIBLE MEAT OFFAL,FRANCE,0,0
02,MEAT AND EDIBLE MEAT OFFAL,TAIWAN PROVINCE OF CHINA,0,0
02,MEAT AND EDIBLE MEAT OFFAL,SPAIN,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,PAPUA NEW GUINEA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,ECUADOR,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,MYANMAR,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,MADAGASCAR,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,MOZAMBIQUE,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,KUWAIT,116291,116291
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,UNITED STATES,2628691,2628691
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,CURACAO,19709,19709
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,MAURITIUS,23735,23735
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,TAIWAN PROVINCE OF CHINA,6973816,6973816
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,SAUDI ARABIA,4504707,4504707
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,MACAO,27090,27090
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,UNITED KINGDOM,5595,5595
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,COLOMBIA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,UGANDA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,MOROCCO,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,ALGERIA,83442,83442
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,GREECE,14358,14358
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,TUNISIA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,INDIA,35266,35266
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,SPAIN,12916,12916
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,GERMANY,12102,12102
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,GHANA,3931,3931
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,QATAR,496770,496770
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,AUSTRALIA,2730585,2730585
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,CANADA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,NIGERIA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,INDONESIA,1528326,1528326
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,UZBEKISTAN,3983,3983
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,CONGO THE DEMOCRATIC REPUBLIC OF THE,90822,90822
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,PAKISTAN,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,MEXICO,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,PERU,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,TURKIYE,22329953,22329953
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,KOREA REPUBLIC OF,13750965,13750965
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,COTE D'IVOIRE,47503,47503
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,RUSSIAN FEDERATION,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,VIET NAM,1653041,1653041
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,BANGLADESH,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,IRELAND,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,EGYPT,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,DENMARK,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,HUNGARY,10387,10387
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,ITALY,18540,18540
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,POLAND,19616,19616
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,NORWAY,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,FRANCE,1240,1240
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,BRUNEI DARUSSALAM,1121555,1121555
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,UNITED ARAB EMIRATES,285109,285109
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,NETHERLANDS,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,CHILE,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,ANGOLA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,YEMEN,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,THAILAND,28646927,28646927
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,PHILIPPINES,749905,749905
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,REUNION,9579,9579
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,SOUTH AFRICA,36818,36818
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,OMAN,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,CHINA,51320969,51320969
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,FALKLAND ISLAND (MALVINAS),0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,BURKINA FASO,197612,197612
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,HONG KONG,7868606,7868606
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,SWEDEN,41181,41181
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,JAPAN,5570093,5570093
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,ARGENTINA,0,0
03,FISH AND CRUSTACEANS MOLLUSCS AND OTHER AQUATIC INVERTEBRATES,UKRAINE,0,0
