subhead,subhead_description,partner_country_name,January 2024 (Exports Value (MYR)),total
010129,LIVE HORSES ASSES MULES AND HINNIES.HORSES:OTHER THAN PURE-BRED BREEDING ANIMALS,UNITED KINGDOM,0,0
010221,LIVE BOVINE ANIMALS.CATTLE:PURE-BRED BREEDING ANIMALS,UNITED KINGDOM,12000,12000
010229,LIVE BOVINE ANIMALS.CATTLE:OTHER THAN PURE-BRED BREEDING ANIMALS,UNITED KINGDOM,0,0
010239,LIVE BOVINE ANIMALS.BUFFALO:OTHER THAN PURE-BRED BREEDING ANIMALS,UNITED KINGDOM,40800,40800
010310,LIVE SWINE.PURE-BRED BREEDING ANIMALS,UNITED KINGDOM,0,0
010392,LIVE SWINE.OTHER THAN PURE-BRED BREEDING ANIMALSWEIGHING 50 KG OR MORE,UNITED KINGDOM,18628003,18628003
010410,LIVE  SHEEP AND GOATS.SHEEP:PURE-BRED BREEDING ANIMALS,UNITED KINGDOM,0,0
010420,LIVE  SHEEP AND GOATS.GOATS:PURE-BRED BREEDING ANIMALS,UNITED KINGDOM,0,0
010511,LIVE POULTRY THAT IS TO SAY FOWLS OF THE SPECIES GALLUS DOMESTICUS DUCKS GEESE TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:      ,UNITED KINGDOM,4512768,4512768
010594,LIVE POULTRY THAT IS TO SAY FOWLS OF THE SPECIES GALLUS DOMESTICUS DUCKS GEESE TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:,UNITED KINGDOM,64945837,64945837
010599,LIVE POULTRY THAT IS TO SAY FOWLS OF THE SPECIES GALLUS DOMESTICUS DUCKS GEESE TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:OTHER THAN FOWLS OF THE SPECIES GALLUS DOMESTICUS:,UNITED KINGDOM,18173253,18173253
010611,OTHER LIVE ANIMALS.MAMMALS .PRIMATES ,UNITED KINGDOM,0,0
010614,OTHER LIVE ANIMALS.MAMMALS .RABBITS AND HARES ,UNITED KINGDOM,0,0
010619,OTHER LIVE ANIMALS.MAMMALS .OTHER THAN WHALES DOLPHINS AND PORPOISES (MAMMALS OF THE ORDER CETACEA); MANATEES AND DUGONGS (MAMMALS OF THE ORDER SIRENIA); SEALS SEA LIONS AND WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA)  AND PRIMATES .,UNITED KINGDOM,43448,43448
010620,OTHER LIVE ANIMALS.REPTILES (INCLUDING SNAKES AND TURTLES).,UNITED KINGDOM,42890,42890
010631,OTHER LIVE ANIMALS.BIRDS .BIRDS OF PREY ,UNITED KINGDOM,42099,42099
010632,OTHER LIVE ANIMALS.BIRDS .PSITTACIFORMES (INCLUDING PARROTS PARAKEETS MACAWS AND COCKATOOS),UNITED KINGDOM,16000,16000
010639,OTHER LIVE ANIMALS.BIRDS .OTHER THANBIRDS OF PREY PSITTACIFORMES (INCLUDING PARROTS PARAKEETS MACAWS AND COCKATOOS) AND OSTRICHES; EMUS (DROMAIUS NOVAEHOLLANDIAE) .,UNITED KINGDOM,101542,101542
010649,OTHER LIVE ANIMALS.INSECTS .OTHER THAN BEES.,UNITED KINGDOM,82693,82693
010690,OTHER LIVE ANIMALS.OTHER THAN MAMMALS  REPTILES (INCLUDING SNAKES AND TURTLES) BIRDS AND INSECTS .,UNITED KINGDOM,282395,282395
020120,MEAT OF BOVINE ANIMALS FRESH OR CHILLED.OTHER CUTS WITH BONE IN,UNITED KINGDOM,0,0
020130,MEAT OF BOVINE ANIMALS FRESH OR CHILLED.BONELESS,UNITED KINGDOM,259200,259200
020220,MEAT OF BOVINE ANIMALS FROZEN.OTHER CUTS WITH BONE IN,UNITED KINGDOM,0,0
