year,bumi,chinese,indian,other,total
1901,1088900,508500,107700,28600,1733700
1911,1368954,693228,239169,37700,2339051
1921,1568588,855863,439172,43068,2906691
1931,1863872,1284888,572613,66385,3787758
1947,2427834,1884534,530638,65080,4908086
1957,3125474,2333756,696186,123342,6278758
1970,4663284,3117896,933250,66298,8780728
1980,6315572,3865431,1171135,74475,11426613
1991,8433826,4250969,1380048,410544,14475387
2000,11135694,4883079,1666048,147749,17832570
2010,13735752,5509302,1892322,130205,21267581
2020,16573600,6088900,1987700,169300,24819500
2030,18975200,6121300,2042300,197100,27335900
2040,21375400,6012200,2056500,221100,29665200
2050,23270900,5610200,1974400,242100,31097600
2060,24556100,4928600,1791300,268800,31544800
